"Address","Occurrences","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Indexability","Indexability Status"
"https://www.columbusrecoverycenter.com/blog/ohio-sober-houses-work/","1","If you or any of your loved ones are struggling with addiction right now, help is available to you at Recovery Village Columbus, a premier Ohio drug rehab facility.","164","991","Indexable",""
"https://www.columbusrecoverycenter.com/blog/understanding-marijuana-laws-in-ohio/","1","Marijuana laws can be tricky to understand in Ohio, as different areas have different statutes in place. Learn more about the general marijuana laws in the state.","162","991","Indexable",""
"https://www.columbusrecoverycenter.com/blog/deal-anger-ohio-rehab/","1","Anger tends to be a normal part of the healing process for recovering addicts. What has changed is the way drug rehab in Ohio helps patients understand and process toxic emotions.","179","1127","Indexable",""
"https://www.columbusrecoverycenter.com/fortitude/ptsd-treatment-for-first-responders/cpt/","1","PTSD can be complicated to treat, but many people have experienced success with cognitive processing therapy (CPT). Learn how CPT can help first responders with PTSD.","166","1077","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/cocaine-addiction/withdrawal-detox/","1","Cocaine withdrawal symptoms may not be as dangerous as those of other drugs, but they can still make recovery difficult. Learn more about cocaine withdrawal and detox.","167","1059","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-couple-turn-activism-devastating-opioid-losses/","1","If you or a loved one is struggling in the throes of drug or opioid addiction, please know that you are not alone and help is available. Ohio drug rehab is just a phone call away.","179","1074","Indexable",""
"https://www.columbusrecoverycenter.com/blog/achieving-emotional-sobriety-after-rehab/","1","Substance misuse is not just about the physical dependence on a substance, it is about emotional dependence too. It is important to work on your whole self.","156","972","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/opiate-addiction/treatment-rehab/","1","When seeking treatment for opioid addiction, it’s important to find a facility that offers the tools necessary for lifelong recovery. Learn more about treatment options here.","174","1046","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/monroe/","1","There are many resources for drug and alcohol addiction in and around Monroe, Ohio. The Recovery Village Columbus is just a short drive away and can provide a lifetime of rehabilitation.","186","1159","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/suboxone-addiction/","1","Suboxone is a medication option for reducing withdrawal and cravings during detox and early recovery from opioid use disorder. Here we outline the facts about Suboxone.","168","1057","Indexable",""
"https://www.columbusrecoverycenter.com/blog/spice-dangerous-ohio-residents/","1","Synthetic marijuana is not a safer alternative and it is anything but innocent fun. It is addictive and can cause permanent damage, but drug rehab in Ohio can help.","164","1001","Indexable",""
"https://www.columbusrecoverycenter.com/blog/can-gaming-addiction-treated/","1","Video games are nothing new, but people need to know that any behavior can be addictive. Whether food, alcohol, drugs, sex, or Angry Birds are your vice, help is available. Before seeking treatment, you must understand video game addiction and what drives addiction in general.","277","1734","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/oxycontin-addiction/treatment-rehab/","1","OxyContin rehab at The Recovery Village Columbus often begins with a detox program, followed by an individual treatment plan that meets each patient's unique needs. Learn more.","176","1115","Indexable",""
"https://www.columbusrecoverycenter.com/blog/supporting-employees-with-bipolar-disorder/","1","Employers face new questions and challenges when managing their employee’s mental health concerns, but learning the laws and accommodations will assist the process.","164","1056","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/springfield/","1","Springfield, OH is one of the many cities in Ohio facing serious drug problems and opioid use. Luckily, there are substance use and recovery resources in Springfield that can help.","180","1107","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/hydrocodone-addiction/","1","Ohio is in the midst of an opioid epidemic that causes thousands of overdoses each year. Learn more about hydrocodone and how it leads to addiction and overdose.","161","1029","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/klonopin-addiction/withdrawal-detox/","1","Quitting Klonopin can lead to a variety of uncomfortable or even dangerous withdrawal symptoms. Medical detox programs can help reduce these risks. Learn more.","159","1014","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction/related/alcohol-withdrawal-treatment-home/","1","Withdrawing from alcohol use at home can be a safe and effective alternative to inpatient detoxification. Learn more about home detox and if it is right for you.","161","979","Indexable",""
"https://www.columbusrecoverycenter.com/blog/snorting-norco/","1","Some people crush and inhale Norco through their nose to feel its effects faster. This misuse can lead to overdose, addiction and lasting respiratory issues.","157","964","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/","1","If you are ready to enter addiction treatment for a drug or alcohol use disorder, here's what you can expect during the admissions process at our Columbus rehab facility.","170","1045","Indexable",""
"https://www.columbusrecoverycenter.com/blog/deal-addicted-spouse-ohio/","1","If your spouse is currently battling an addiction, you both need help. Your spouse clearly needs Ohio drug rehab to help kick the habit and overcome the addiction.","163","1001","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/pricing/no-insurance/","1","Addiction treatment can be life-saving, but cost can be a concern. Fortunately, many free or low-cost rehab services are available in Ohio. Learn how to find them.","163","1005","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/middletown/","1","Your recovery is closer than you think. Call The Recovery Village Columbus today for more information about addiction treatment for residents of Middletown.","156","972","Indexable",""
"https://www.columbusrecoverycenter.com/about/","1","The Recovery Village Columbus Drug and Alcohol Rehab is a premier drug and alcohol rehab facility in Groveport, Ohio, helping people from across the country overcome substance use disorder.","189","1203","Indexable",""
"https://www.columbusrecoverycenter.com/students/which-substances-do-ohio-students-use/","1","Substance abuse is a major issue for many in Ohio, and students are no exception. While alcohol is a common substance for both high school and college students to experiment with in Ohio, the two groups may vary when it comes to harder drugs.","242","1531","Indexable",""
"https://www.columbusrecoverycenter.com/blog/should-pharma-pay-opioid-epidemic/","1","Drug companies are being sued to pay for the opioid crisis. However, other groups also contributed to the crisis. Learn about those groups and how they contributed to the opioid epidemic.","187","1161","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/partial-hospitalization/","1","A step down from inpatient, The Recovery Village in Ohio’s Partial Hospitalization Program (PHP) has daily addiction therapy and nightly sober living housing.","158","970","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/oxycodone-addiction/symptoms-side-effects/","1","Do you or a loved one struggle with oxycodone addiction? Learn how to spot oxycodone addiction symptoms and the side effects associated with using this prescription opioid.","172","1087","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohioans-know-crack-detox/","1","If you or any of your loved ones are smoking crack cocaine, this article is for you. The rate of crack abuse in the Columbus and greater Ohio region remains alarmingly high.","173","1065","Indexable",""
"https://www.columbusrecoverycenter.com/blog/common-barriers-addiction-treatment/","1","People seeking addiction treatment often face several barriers, which can hinder them from getting the help they need. Read on to find out what these obstacles are and how to overcome them.","189","1190","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton/","1","Once a person attends rehab, whether it’s in Dayton or out of the state, they can return home and continue their successful recovery by attending local meetings or therapy.","172","1065","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/suboxone-addiction/symptoms-side-effects/","1","Although Suboxone is an effective adjunct to treatment for opioid addiction, Suboxone addiction also occurs. In this article we discuss the facts about Suboxone addiction.","171","1053","Indexable",""
"https://www.columbusrecoverycenter.com/blog/in-network-anthem-blue-cross-blue-shield/","1","The Recovery Village Columbus is now an in-network provider with Anthem Blue Cross and Blue Shield of Ohio, expanding coverage and access to rehab resources to more people in need.","180","1165","Indexable",""
"https://www.columbusrecoverycenter.com/blog/are-12-step-programs-really-effective-in-ohio/","1","12-step programs encourage participants to follow specific steps in order to ensure a full recovery. But the question is, are 12-step programs really effective in Ohio drug rehab?","179","1093","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction/","1","Effexor is a commonly prescribed antidepressant that is not associated with abuse but quitting often causes uncomfortable “antidepressant discontinuation syndrome” symptoms.","173","1096","Indexable",""
"https://www.columbusrecoverycenter.com/blog/how-does-an-ohio-arise-intervention-work/","1","Getting an addict to accept treatment is a huge step in the right direction, but it is just the first step in a long journey. Once addicts agree to enter Ohio drug rehab, the real work begins.","192","1134","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati/","1","There are many treatment options available in Cincinnati, Ohio for opioid drug and alcohol addiction. The Recovery Village Columbus offers full-service care for complete healing.","178","1095","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction/related/alcohol-seizures/","1","Drinking’s effects on brain chemistry can raise the risk of seizure, especially if you struggle with alcohol use. Learn more about why this happens and how to avoid it.","168","1020","Indexable",""
"https://www.columbusrecoverycenter.com/blog/cognitive-behavioral-therapy-work-ohio-drug-rehab/","1","If you are looking for an Ohio drug rehab option that works, contact The Recovery Village Columbus today to learn about treatment options and get the support you need.","167","1044","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction/","1","Why is alcohol addictive? How can you tell when frequent alcohol abuse has turned into an addiction? Understand the effects of alcohol and the risks with long-term abuse.","170","1058","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/","1","Successful addiction recovery relies on finding the treatment solution that works best for you. We offer a number of addiction treatment programs to suit your unique needs and required level of care.","199","1223","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/youngstown/","1","Don't let an addiction to drugs or alcohol ruin your life. A short drive from Youngstown, Ohio, The Recovery Village Columbus can help you find lasting sobriety and health.","172","1048","Indexable",""
"https://www.columbusrecoverycenter.com/blog/how-addictive-is-dilaudid/","1","Dilaudid is often prescribed to patients who are experiencing pain. However, when not taken according to a doctor’s instructions, it can become addictive. Why is this? Click here to find out.","191","1168","Indexable",""
"https://www.columbusrecoverycenter.com/treatment-programs/co-occurring-disorders/","1","The term ""co-occurring disorders"" refers to when people have both a mental illness and an addiction. Learn about dual diagnosis treatment at The Recovery Village Columbus.","171","1076","Indexable",""
"https://www.columbusrecoverycenter.com/blog/dealing-paws-ohio-drug-rehab/","1","For those struggling with addiction, one of the most common concerns about entering rehab is dealing with withdrawal symptoms during and immediately after detox.","161","1013","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/warren/","1","Your road to recovery will take you from Warren to The Recovery Village Columbus — a state-of-the-art facility for alcohol and drug rehab in the heart of Ohio.","159","980","Indexable",""
"https://www.columbusrecoverycenter.com/blog/neonatal-abstinence-syndrome-and-babies/","1","Neonatal abstinence syndrome is a group of conditions that causes a baby to experience withdrawal symptoms as a result of being exposed to specific drugs in the womb.","166","1055","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/meth-addiction/treatment-rehab/","1","Meth addiction can be difficult to recover from alone. Fortunately, treatment facilities and rehab facilities in Ohio can help address meth abuse and addiction.","160","967","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/euclid/","1","With growing community resources, drug and alcohol addiction won't have the last word in Euclid, Ohio. The Recovery Village Columbus can help you find lasting sobriety.","168","1050","Indexable",""
"https://www.columbusrecoverycenter.com/students/how-to-help/","1","For every generation of students in Ohio, challenges evolve as society, technology and expectations change. Issues like bullying once occurred only with verbal words and physical behaviors.","189","1183","Indexable",""
"https://www.columbusrecoverycenter.com/","1","The Recovery Village Columbus Drug and Alcohol Rehab is located in Columbus, Ohio offers professional addiction treatment and services for co-occurring mental health disorders.","176","1112","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ptsd-addiction-healing-wounds-ohio-drug-rehab/","1","This article explores why these two disorders tend to co-occur and provides actionable tips for treating them at the same time through the Recovery Village Columbus' unique Ohio drug rehab program.","197","1233","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/opiate-addiction/withdrawal-detox/","1","Opioid detox and withdrawal are the first steps in recovering from an opioid use disorder, and they’re usually the most uncomfortable. Learn how to handle the symptoms.","168","1046","Indexable",""
"https://www.columbusrecoverycenter.com/blog/amendment-petition-may-help-ohio-addicts-get-treatment-instead-jail-time/","1","While the amendment is now only in the proposal stages, there are steps those struggling with addiction can take in the meantime to avoid being arrested and get clean.","167","1039","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/suboxone-addiction/withdrawal-detox/","1","Suboxone withdrawal can involve physical and psychological symptoms, both acute and chronic. Here we discuss Suboxone detox and how to avoid or reduce withdrawal symptoms.","171","1120","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-hospitals-team-addiction-treatment-providers-address-crisis/","1","With eight to ten people coming to the ER with overdoses daily, there was an ongoing problem with many patients ending up on long waitlists for addiction care, making repeat ER visits, and sometimes even dying.","210","1314","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/insurance/health-choice/","1","Learn about Orlando Healthcare coverage options for addiction treatment including drug and alcohol detox. Find out how to explore covered benefits and services.","160","1003","Indexable",""
"https://www.columbusrecoverycenter.com/blog/bariatric-surgery-alcohol-misuse/","1","Bariatric surgery can transform your body in more ways than one. Learn how alcohol misuse can arise in addition to extreme weight loss from this popular procedure.","163","1022","Indexable",""
"https://www.columbusrecoverycenter.com/fortitude/ptsd-treatment-for-first-responders/cbt/","1","Cognitive-behavioral therapy (CBT) is a helpful treatment technique for post-traumatic stress disorder (PTSD). Learn more about how CBT can help first responders.","162","1017","Indexable",""
"https://www.columbusrecoverycenter.com/blog/vitamins-addiction-recovery/","1","A substance use disorder is often accompanied by vitamin deficiencies and malnutrition. Learn about specific vitamins that can aid in recovery for a variety of substances.","171","1057","Indexable",""
"https://www.columbusrecoverycenter.com/students/","1","Are you a high school student suffering from a dependence on drugs or alcohol? The loved one of a college or grad school student who struggles with addiction? Learn more about substance use disorders among Ohio students","219","1396","Indexable",""
"https://www.columbusrecoverycenter.com/blog/exploring-the-dangers-of-bath-salts/","1","Bath salts can have dangerous effects on the body. Anyone battling an addiction to bath salts is encouraged to look into Ohio addiction treatment resources.","156","969","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-universities-concerned-binge-drinking-among-students/","1","Consider some of the statistics related to binge drinking as well as ways that colleges, parents, educators, and the community can fight this problem and save lives.","165","1012","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/canton/","1","Recovery is closer than ever, Canton. The Recovery Village Columbus is a drug-and-alcohol treatment center in Ohio dedicated to comprehensive rehabilitation.","157","992","Indexable",""
"https://www.columbusrecoverycenter.com/blog/how-long-does-kratom-stay-in-system/","1","Kratom is legal in the United States, though people can develop an addiction to the plant-based drug. Learn about how long kratom can be detected by drug tests.","160","997","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/percocet-addiction/treatment-rehab/","1","There are many options available to support recovery from Percocet addiction. Learn about the types of rehab for Percocet addiction and what to expect from treatment.","166","1044","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/marijuana-addiction/","1","Marijuana addiction is a recognized medical condition and can lead to withdrawal if use is stopped. Learn more about marijuana addiction symptoms, side effects and treatment.","174","1087","Indexable",""
"https://www.columbusrecoverycenter.com/blog/city-on-the-edge-a-closer-look-at-cleveland-drug-trends/","1","As drug use such as the opioid crisis becomes more acute in cities across the United States, how do Cleveland drug trends stack up when compared to the rest of the country?","172","1087","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/insurance/cigna/","1","There are numerous factors that determine whether your Cigna insurance plan covers detox and rehabilitation. Learn more about Cigna’s benefits for addiction treatment.","167","1048","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-residents-ask-can-really-get-addicted-heroin-just-one-use/","1","Studies suggest that heroin affects important parts of the brain so strongly and intensely that addiction is almost inevitable after even just a few hits. Once you are hooked, your best chance of recovery is to seek treatment in Ohio drug rehab.","245","1493","Indexable",""
"https://www.columbusrecoverycenter.com/blog/developing-self-awareness-in-drug-rehab/","1","Self-awareness essentially means being aware of your emotions, feelings, and behaviors which play a key role in addiction treatment through Ohio drug rehab.","156","981","Indexable",""
"https://www.columbusrecoverycenter.com/blog/toledos-battle-with-heroin-and-fentanyl-where-we-are-now/","1","Often, a person’s first exposure to Ohio drug rehab resources is in an overdose emergency, when they undergo stabilization in a hospital emergency department.","158","997","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lorain/","1","If you live in Lorain, Ohio and you or a loved one are suffering from substance use or dependency, there are places where you can turn for help. There are options such as AA meetings and community drug abuse support groups that Lorain residents can participate in. You may also travel to the heart of Ohio to The Recovery Village Columbus in order to receive treatment at an accredited rehab center.","399","2493","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/hamilton/","1","Hamilton, Ohio offers a variety of nearby drug and alcohol treatment programs, including The Recovery Village Columbus, a full-service addiction treatment facility.","164","1003","Indexable",""
"https://www.columbusrecoverycenter.com/blog/meth-epidemic-under-radar-due-to-marijuana-legalization-opioid-crisis/","1","While the opioid epidemic is still going on, there is also a less-publicized epidemic, which is the meth epidemic driven in part from marijuana legalization.","157","936","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction/related/withdrawal-delirium-tremens/","1","Individuals that are actively withdrawing from alcohol may experience a condition known as delirium tremens. Learn about the signs, symptoms and treatment of delirium tremens.","175","1096","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/trazodone-addiction/withdrawal-detox/","1","Trazodone withdrawal can be different for everyone with unpredictable severity. Learn more about trazodone detox, addiction treatment, and when to get help.","156","976","Indexable",""
"https://www.columbusrecoverycenter.com/alcohol-addiction/related/alcohol-detox-diet/","1","What does alcohol detox entail? Find out why balanced nutrition, replacing electrolytes, staying hydrated and replenishing vitamins and minerals are critical to detox.","167","1016","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-addiction-treatment-over-incarceration/","1","Ohio is considering being more lenient on non-violent, drug-related offenders by offering treatment options. Learn how the state aims to reduce the financial and psychological costs of going to prison.","201","1229","Indexable",""
"https://www.columbusrecoverycenter.com/blog/cardinal-health-billion-pills-eight-years/","1","The opioid crisis in Ohio may have been partly the fault of Cardinal Health, which distributed a billion opiates throughout the United States over the course of eight years","172","1039","Indexable",""
"https://www.columbusrecoverycenter.com/blog/how-trv-columbus-supports-ohio-alumni/","1","Aftercare is an important part of post-rehab recovery. It includes ongoing therapy, support group meetings, follow-up appointments, relapse prevention strategies and more.","171","1058","Indexable",""
"https://www.columbusrecoverycenter.com/blog/what-is-emdr-and-how-is-it-used-in-ohio-drug-rehab/","1","Many therapists make use of EMDR to treat the trauma behind an addict's abuse of alcohol or drugs in addition to traditional behavioral therapies and pharmaceutical drugs to help addicts in Ohio drug rehab.","206","1276","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/insurance/mines-and-associates/","1","Learn about Mines and Associates, the programs that the company offers and how they can help people with life problems that can lead to a substance use disorder.","161","1020","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/kent/","1","If you're struggling with drug or alcohol addiction, Kent, Ohio has a variety of local treatment options, and The Recovery Village Columbus can help you get there.","163","995","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/methadone-addiction/withdrawal-detox/","1","Abstinence from methadone following long-term use can lead to unpleasant withdrawal symptoms. Detoxification, undertaken at a medical detox , can reduce the chances of a relapse.","178","1129","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-residents-know-adderall-addiction/","1","If you have an addiction to Adderall, you should seek help from an Ohio drug rehab facility now. At no time should you abruptly stop taking Adderall, which is referred to as going ""cold turkey.""","194","1170","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/mansfield/","1","Mansfield, OH is full of treatment options and support groups for drug and alcohol addiction. And centers like The Recovery Village Columbus can help you find recovery.","168","1039","Indexable",""
"https://www.columbusrecoverycenter.com/blog/michigan-offers-free-nicotine-patches-gum/","1","Michigan is introducing a new program aimed at helping residents stop smoking. Find out how the state is supplying free nicotine gum, patches and lozenges until September.","171","1068","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/xanax-addiction/symptoms-side-effects/","1","Xanax abuse can lead to both physical and behavioral side effects. Learn about Xanax’s side effects, how long these effects last and signs of a Xanax addiction.","160","997","Indexable",""
"https://www.columbusrecoverycenter.com/blog/stimulants-abuse-and-the-matrix-model-how-it-works-in-ohio-drug-rehab/","1","There are many different types of Ohio drug rehab programs, and looking at all of your options will help you choose the program that is the right fit for you.","158","949","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/methadone-addiction/symptoms-side-effects/","1","Methadone is a synthetic opioid used for the treatment of opioid addiction and as an analgesic. It has an abuse potential similar to morphine with the potential to cause addiction due to long-term use.","201","1227","Indexable",""
"https://www.columbusrecoverycenter.com/blog/can-you-be-born-an-addict/","1","Born an Addict? During pregnancy, opioids pass from the mother’s bloodstream into the placenta. These drugs affect the fetus in much the same way they do their mother, fostering dependence","188","1191","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/opiate-addiction/","1","Ohio opioid addiction is on the rise, with the first quarter of 2020 seeing the highest rates of opioid overdose deaths in 10 years. Learn more about signs of addiction.","169","1027","Indexable",""
"https://www.columbusrecoverycenter.com/blog/will-new-public-awareness-campaign-curb-addiction-in-ohio/","1","A new public Ohio drug awareness campaign is launching in the state of Ohio in an effort to discourage the use of drugs in hopes of reducing the prevalence of addiction.","169","1045","Indexable",""
"https://www.columbusrecoverycenter.com/blog/5-common-types-of-behavioral-addiction/","1","There are a lot more things that can be addictive aside from just drugs and alcohol, and therefore may require the help of treatment at an Ohio addiction treatment center.","171","1047","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/morphine-addiction/","1","Morphine is an opioid medication used to treat pain, but it carries a high risk of abuse, dependence, and addiction. Learn more about morphine addiction and the risks it creates.","178","1091","Indexable",""
"https://www.columbusrecoverycenter.com/blog/recovery-month-ohio/","1","COVID-19 has impacted many planned celebrations, including National Recovery Month. Find out how National Recovery Month is being celebrated in Ohio and online this year.","170","1090","Indexable",""
"https://www.columbusrecoverycenter.com/admissions/checklist/","1","If you’re coming to The Recovery Village Columbus for residential treatment, you may have questions about what to bring. Use this guide to prepare for your stay.","161","999","Indexable",""
"https://www.columbusrecoverycenter.com/drugs/methadone-addiction/treatment-rehab/","1","Methadone addiction adversely affects an individual’s physical and mental health as well as their social lives. Treatment for methadone addiction involves treatment at a medical detox followed by enrollment at an inpatient rehab.","229","1405","Indexable",""
"https://www.columbusrecoverycenter.com/blog/rapid-detox-safe-ohio-drug-rehab/","1","You have decided to commit. You want to make sure that you can detox from drugs and commit to a new direction in life. It is a significant choice, and you want to do it right, and quickly. Is rapid detox the right choice for those exploring Ohio drug rehab options?","265","1611","Indexable",""
"https://www.columbusrecoverycenter.com/blog/ohio-dart-program-works-fight-opioid-addiction-one-person-time/","1","If you or any of your loved ones are seeking recovery, support, or treatment, look for a treatment facility with compassionate, expert care. Once you know treatment is an option, Ohio drug rehab is within your reach.","216","1328","Indexable",""
"https://www.columbusrecoverycenter.com/ohio-rehab/lima/","1","There are several treatment options for drug and alcohol addiction in and around Lima, Ohio. The nearby Recovery Village Columbus offers full-service care for complete rehabilitation.","183","1131","Indexable",""
