# ----------------------------------------,,,,,,,,,treter,
# All Web Site Data,,,,,,,,,,
# Google Ads Search Queries,,,,,,,,,,
# 20200101-20200510,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Search Query,Clicks,Cost,CPC,Users,Sessions,Bounce Rate,Pages / Session,Form Completion (Goal 2 Conversion Rate),Form Completion (Goal 2 Completions),Form Completion (Goal 2 Value)
azure active directory,60,$44.31 ,$0.74 ,2,2,100.00%,1,0.00%,0,$0.00 
cloudbolt software,60,$285.66 ,$4.76 ,0,0,0.00%,0,0.00%,0,$0.00 
cloud bolt,59,$132.02 ,$2.24 ,0,0,0.00%,0,0.00%,0,$0.00 
,"13,385","$45,382.37 ",$3.39 ,"4,039","4,405",84.72%,1.32,1.91%,84,$0.00 
,,,,,,,,,,
Day Index,Users,,,,,,,,,
01-01-2020,31,,,,,,,,,
01-02-2020,37,,,,,,,,,
01-03-2020,43,,,,,,,,,
01-04-2020,25,,,,,,,,,
01-05-2020,28,,,,,,,,,
01-06-2020,41,,,,,,,,,
01-07-2020,71,,,,,,,,,
01-08-2020,46,,,,,,,,,
01-09-2020,41,,,,,,,,,
01-10-2020,34,,,,,,,,,
01-11-2020,12,,,,,,,,,
01-12-2020,28,,,,,,,,,
1/13/2020,37,,,,,,,,,
1/14/2020,30,,,,,,,,,
1/15/2020,33,,,,,,,,,
1/16/2020,28,,,,,,,,,
1/17/2020,28,,,,,,,,,
1/18/2020,16,,,,,,,,,
1/19/2020,23,,,,,,,,,
1/20/2020,28,,,,,,,,,
1/21/2020,33,,,,,,,,,
1/22/2020,28,,,,,,,,,
1/23/2020,32,,,,,,,,,
1/24/2020,32,,,,,,,,,
1/25/2020,18,,,,,,,,,
1/26/2020,21,,,,,,,,,
1/27/2020,29,,,,,,,,,
1/28/2020,26,,,,,,,,,
1/29/2020,28,,,,,,,,,
1/30/2020,37,,,,,,,,,
1/31/2020,25,,,,,,,,,
02-01-2020,24,,,,,,,,,
02-02-2020,20,,,,,,,,,
02-03-2020,24,,,,,,,,,
02-04-2020,29,,,,,,,,,
02-05-2020,33,,,,,,,,,
02-06-2020,27,,,,,,,,,
02-07-2020,30,,,,,,,,,
02-08-2020,18,,,,,,,,,
02-09-2020,19,,,,,,,,,
02-10-2020,32,,,,,,,,,
02-11-2020,22,,,,,,,,,
02-12-2020,29,,,,,,,,,
2/13/2020,29,,,,,,,,,
2/14/2020,25,,,,,,,,,
2/15/2020,13,,,,,,,,,
2/16/2020,16,,,,,,,,,
2/17/2020,28,,,,,,,,,
2/18/2020,24,,,,,,,,,
2/19/2020,28,,,,,,,,,
2/20/2020,21,,,,,,,,,
2/21/2020,26,,,,,,,,,
2/22/2020,11,,,,,,,,,
2/23/2020,11,,,,,,,,,
2/24/2020,26,,,,,,,,,
2/25/2020,20,,,,,,,,,
2/26/2020,25,,,,,,,,,
2/27/2020,30,,,,,,,,,
2/28/2020,15,,,,,,,,,
2/29/2020,9,,,,,,,,,
03-01-2020,18,,,,,,,,,
03-02-2020,22,,,,,,,,,
03-03-2020,28,,,,,,,,,
03-04-2020,24,,,,,,,,,
03-05-2020,24,,,,,,,,,
03-06-2020,18,,,,,,,,,
03-07-2020,18,,,,,,,,,
03-08-2020,15,,,,,,,,,
03-09-2020,20,,,,,,,,,
03-10-2020,24,,,,,,,,,
03-11-2020,20,,,,,,,,,
03-12-2020,27,,,,,,,,,
3/13/2020,27,,,,,,,,,
3/14/2020,15,,,,,,,,,
3/15/2020,16,,,,,,,,,
3/16/2020,18,,,,,,,,,
3/17/2020,22,,,,,,,,,
3/18/2020,15,,,,,,,,,
3/19/2020,21,,,,,,,,,
3/20/2020,19,,,,,,,,,
3/21/2020,15,,,,,,,,,
3/22/2020,18,,,,,,,,,
3/23/2020,21,,,,,,,,,
3/24/2020,21,,,,,,,,,
3/25/2020,33,,,,,,,,,
3/26/2020,38,,,,,,,,,
3/27/2020,40,,,,,,,,,
3/28/2020,42,,,,,,,,,
3/29/2020,38,,,,,,,,,
3/30/2020,78,,,,,,,,,
3/31/2020,34,,,,,,,,,
04-01-2020,69,,,,,,,,,
04-02-2020,50,,,,,,,,,
04-03-2020,59,,,,,,,,,
04-04-2020,65,,,,,,,,,
04-05-2020,67,,,,,,,,,
04-06-2020,61,,,,,,,,,
04-07-2020,54,,,,,,,,,
04-08-2020,57,,,,,,,,,
04-09-2020,45,,,,,,,,,
04-10-2020,49,,,,,,,,,
04-11-2020,46,,,,,,,,,
04-12-2020,50,,,,,,,,,
4/13/2020,50,,,,,,,,,
4/14/2020,58,,,,,,,,,
4/15/2020,55,,,,,,,,,
4/16/2020,42,,,,,,,,,
4/17/2020,25,,,,,,,,,
4/18/2020,31,,,,,,,,,
4/19/2020,39,,,,,,,,,
4/20/2020,42,,,,,,,,,
4/21/2020,41,,,,,,,,,
4/22/2020,26,,,,,,,,,
4/23/2020,10,,,,,,,,,
4/24/2020,38,,,,,,,,,
4/25/2020,22,,,,,,,,,
4/26/2020,24,,,,,,,,,
4/27/2020,37,,,,,,,,,
4/28/2020,58,,,,,,,,,
4/29/2020,46,,,,,,,,,
4/30/2020,46,,,,,,,,,
05-01-2020,41,,,,,,,,,
05-02-2020,22,,,,,,,,,
05-03-2020,28,,,,,,,,,
05-04-2020,52,,,,,,,,,
05-05-2020,48,,,,,,,,,
05-06-2020,42,,,,,,,,,
05-07-2020,49,,,,,,,,,
05-08-2020,41,,,,,,,,,
05-09-2020,32,,,,,,,,,
05-10-2020,26,,,,,,,,,
,"4,165",,,,,,,,,
